Brand,Model,CPU,RAM,StorageSize
Dell,XPS 13 9360,i7-8660U,16,512
Lenovo,X1 Carbon,i7-8550U,16,512
HP,Spectre x360-13t,i5-8250U,12,256
Samsung,NP950SBE-K01US,i7-8550U,16,512
Microsoft,FUX-00001, i7-8650U,16,512
LG,17Z990-R.AAS8U1,i7 8565U,16,512
ASUS,UX330UA-AH55,i5-8250U,8,256
Acer,E5-576G-5762,i5-8250U,8,256
MSI,GS75,i7-8750H,32,2000
Razer,RZ09-02810E71-R3U1,i7-8565U,8,256
Sager,NP8956,i7-8750H,8,500
